Time Block,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,MVARH,Max,Min,Avg
CGPL,1314.00,1314.00,1314.00,1314.00,1254.00,1194.00,1134.00,1074.00,1014.00,985.50,985.50,985.50,985.50,985.50,985.50,985.50,985.50,985.50,925.50,985.50,985.50,985.50,985.50,985.50,985.50,985.50,1045.50,1105.50,1131.50,1131.50,1131.50,1131.50,1131.50,1131.50,1131.50,1131.50,1131.50,1131.50,1071.50,1011.50,985.50,985.50,925.50,865.50,925.50,925.50,925.50,925.50,985.50,985.50,1045.50,1105.50,1131.50,1071.50,1011.50,985.50,925.50,985.50,985.50,925.50,985.50,925.50,985.50,985.50,925.50,951.50,985.50,985.50,985.50,985.50,925.50,925.50,865.50,925.50,985.50,985.50,985.50,1045.50,1105.49,1165.48,1225.48,1277.50,1337.50,1337.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,1277.50,25725.11,1337.50,865.50,1071.88
GANDHAR-APM,205.00,205.00,205.00,205.00,210.00,210.00,210.00,210.00,210.00,210.00,177.00,157.36,159.67,159.67,157.36,157.36,157.36,157.36,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,182.00,198.94,198.94,198.94,198.94,198.94,198.94,198.94,198.94,205.00,172.00,149.00,149.00,149.00,149.00,167.00,200.00,200.00,200.00,167.00,149.00,149.00,149.00,149.00,149.00,167.00,200.00,200.00,167.00,149.00,149.00,167.00,149.00,167.00,200.00,200.00,200.00,200.00,167.00,153.90,153.90,153.90,153.90,153.90,149.00,153.87,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.83,184.86,184.86,184.86,184.86,188.96,188.96,188.96,188.96,4228.98,210.00,149.00,176.21
GANDHAR-NAPM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GANDHAR-RLNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KAPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KAWAS-APM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KAWAS-NAPM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KAWAS-RLNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KAWAS-zLIQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KSTPS I&II,1359.55,1404.34,1323.89,1173.89,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,964.00,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1067.63,1023.63,973.63,973.63,973.63,973.63,973.63,973.63,973.63,973.63,973.63,973.63,823.63,833.63,942.87,942.87,942.87,1092.87,1242.87,1342.87,1192.87,1189.87,1189.87,1089.87,1089.87,1089.87,1126.27,976.27,1126.27,1126.27,976.27,895.27,826.27,976.27,1126.27,1011.27,1126.27,1126.27,1011.27,896.27,1011.27,1029.27,1029.27,914.27,879.27,994.27,794.70,981.70,1031.70,981.70,1131.70,1281.71,1431.00,1470.00,1452.00,1323.00,1400.00,1470.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,1323.00,26572.44,1470.00,794.70,1107.19
